UNITID,OMCHRT,XOMRCHRT,OMRCHRT,XOMEXCLS,OMEXCLS,XOMACHRT,OMACHRT,XOMCERT4,OMCERT4,XOMASSC4,OMASSC4,XOMBACH4,OMBACH4,XOMAWDN4,OMAWDN4,XOMAWDP4,OMAWDP4,XOMCERT6,OMCERT6,XOMASSC6,OMASSC6,XOMBACH6,OMBACH6,XOMAWDN6,OMAWDN6,XOMAWDP6,OMAWDP6,XOMCERT8,OMCERT8,XOMASSC8,OMASSC8,XOMBACH8,OMBACH8,XOMAWDN8,OMAWDN8,XOMENRYI,OMENRYI,XOMENRAI,OMENRAI,XOMENRUN,OMENRUN,XOMNOAWD,OMNOAWD,XOMAWDP8,OMAWDP8,XOMENRTP,OMENRTP,XOMENRYP,OMENRYP,XOMENRAP,OMENRAP,XOMENRUP,OMENRUP 
100654,10,"R",1374,"R",1,"R",1373,"R",0,"R",0,"R",143,"R",143,"R",10,"R",0,"R",0,"R",369,"R",369,"R",27,"R",0,"R",0,"R",399,"R",399,"R",9,"R",492,"R",473,"R",974,"R",29,"R",36,"R",1,"R",36,"R",34
100654,11,"R",1037,"R",1,"R",1036,"R",0,"R",0,"R",94,"R",94,"R",9,"R",0,"R",0,"R",279,"R",279,"R",27,"R",0,"R",0,"R",301,"R",301,"R",8,"R",350,"R",377,"R",735,"R",29,"R",35,"R",1,"R",34,"R",36
100654,12,"R",337,"R",0,"R",337,"R",0,"R",0,"R",49,"R",49,"R",15,"R",0,"R",0,"R",90,"R",90,"R",27,"R",0,"R",0,"R",98,"R",98,"R",1,"R",142,"R",96,"R",239,"R",29,"R",42,"R",0,"R",42,"R",28
100654,20,"R",189,"R",1,"R",188,"R",0,"R",0,"R",1,"R",1,"R",1,"R",0,"R",0,"R",10,"R",10,"R",5,"R",0,"R",0,"R",12,"R",12,"R",2,"R",69,"R",105,"R",176,"R",6,"R",38,"R",1,"R",37,"R",56
100654,21,"R",129,"R",0,"R",129,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8,"R",8,"R",6,"R",0,"R",0,"R",9,"R",9,"R",1,"R",52,"R",67,"R",120,"R",7,"R",41,"R",1,"R",40,"R",52
100654,22,"R",60,"R",1,"R",59,"R",0,"R",0,"R",1,"R",1,"R",2,"R",0,"R",0,"R",2,"R",2,"R",3,"R",0,"R",0,"R",3,"R",3,"R",1,"R",17,"R",38,"R",56,"R",5,"R",31,"R",2,"R",29,"R",64
100654,30,"R",194,"R",0,"R",194,"R",0,"R",0,"R",85,"R",85,"R",44,"R",0,"R",0,"R",98,"R",98,"R",51,"R",0,"R",0,"R",102,"R",102,"R",0,"R",49,"R",43,"R",92,"R",53,"R",25,"R",0,"R",25,"R",22
100654,31,"R",113,"R",0,"R",113,"R",0,"R",0,"R",42,"R",42,"R",37,"R",0,"R",0,"R",51,"R",51,"R",45,"R",0,"R",0,"R",54,"R",54,"R",0,"R",29,"R",30,"R",59,"R",48,"R",26,"R",0,"R",26,"R",27
100654,32,"R",81,"R",0,"R",81,"R",0,"R",0,"R",43,"R",43,"R",53,"R",0,"R",0,"R",47,"R",47,"R",58,"R",0,"R",0,"R",48,"R",48,"R",0,"R",20,"R",13,"R",33,"R",59,"R",25,"R",0,"R",25,"R",16
100654,40,"R",59,"R",0,"R",59,"R",0,"R",0,"R",8,"R",8,"R",14,"R",0,"R",0,"R",15,"R",15,"R",25,"R",0,"R",0,"R",16,"R",16,"R",1,"R",26,"R",16,"R",43,"R",27,"R",46,"R",2,"R",44,"R",27
100654,41,"R",35,"R",0,"R",35,"R",0,"R",0,"R",7,"R",7,"R",20,"R",0,"R",0,"R",12,"R",12,"R",34,"R",0,"R",0,"R",12,"R",12,"R",0,"R",16,"R",7,"R",23,"R",34,"R",46,"R",0,"R",46,"R",20
100654,42,"R",24,"R",0,"R",24,"R",0,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0,"R",3,"R",3,"R",13,"R",0,"R",0,"R",4,"R",4,"R",1,"R",10,"R",9,"R",20,"R",17,"R",46,"R",4,"R",42,"R",38
100654,50,"R",1816,"R",2,"R",1814,"R",0,"R",0,"R",237,"R",237,"R",13,"R",0,"R",0,"R",492,"R",492,"R",27,"R",0,"R",0,"R",529,"R",529,"R",12,"R",636,"R",637,"R",1285,"R",29,"R",36,"R",1,"R",35,"R",35
100654,51,"R",1314,"R",1,"R",1313,"R",0,"R",0,"R",143,"R",143,"R",11,"R",0,"R",0,"R",350,"R",350,"R",27,"R",0,"R",0,"R",376,"R",376,"R",9,"R",447,"R",481,"R",937,"R",29,"R",35,"R",1,"R",34,"R",37
100654,52,"R",502,"R",1,"R",501,"R",0,"R",0,"R",94,"R",94,"R",19,"R",0,"R",0,"R",142,"R",142,"R",28,"R",0,"R",0,"R",153,"R",153,"R",3,"R",189,"R",156,"R",348,"R",31,"R",38,"R",1,"R",38,"R",31
100663,10,"R",1625,"R",4,"R",1621,"R",2,"R",0,"R",670,"R",672,"R",41,"R",2,"R",0,"R",999,"R",1001,"R",62,"R",2,"R",0,"R",1040,"R",1042,"R",20,"R",324,"R",235,"R",579,"R",64,"R",21,"R",1,"R",20,"R",14
100663,11,"R",557,"R",2,"R",555,"R",2,"R",0,"R",155,"R",157,"R",28,"R",2,"R",0,"R",273,"R",275,"R",50,"R",2,"R",0,"R",292,"R",294,"R",8,"R",136,"R",117,"R",261,"R",53,"R",26,"R",1,"R",25,"R",21
100663,12,"R",1068,"R",2,"R",1066,"R",0,"R",0,"R",515,"R",515,"R",48,"R",0,"R",0,"R",726,"R",726,"R",68,"R",0,"R",0,"R",748,"R",748,"R",12,"R",188,"R",118,"R",318,"R",70,"R",19,"R",1,"R",18,"R",11
100663,20,"R",36,"R",0,"R",36,"R",0,"R",0,"R",2,"R",2,"R",6,"R",0,"R",0,"R",7,"R",7,"R",19,"R",0,"R",0,"R",8,"R",8,"R",1,"R",13,"R",14,"R",28,"R",22,"R",39,"R",3,"R",36,"R",39
100663,21,"R",9,"R",0,"R",9,"R",0,"R",0,"R",1,"R",1,"R",11,"R",0,"R",0,"R",4,"R",4,"R",44,"R",0,"R",0,"R",4,"R",4,"R",0,"R",2,"R",3,"R",5,"R",44,"R",22,"R",0,"R",22,"R",33
100663,22,"R",27,"R",0,"R",27,"R",0,"R",0,"R",1,"R",1,"R",4,"R",0,"R",0,"R",3,"R",3,"R",11,"R",0,"R",0,"R",4,"R",4,"R",1,"R",11,"R",11,"R",23,"R",15,"R",44,"R",4,"R",41,"R",41
100663,30,"R",1149,"R",2,"R",1147,"R",0,"R",0,"R",615,"R",615,"R",54,"R",0,"R",0,"R",697,"R",697,"R",61,"R",0,"R",0,"R",716,"R",716,"R",8,"R",205,"R",218,"R",431,"R",62,"R",19,"R",1,"R",18,"R",19
100663,31,"R",556,"R",0,"R",556,"R",0,"R",0,"R",282,"R",282,"R",51,"R",0,"R",0,"R",324,"R",324,"R",58,"R",0,"R",0,"R",335,"R",335,"R",3,"R",96,"R",122,"R",221,"R",60,"R",18,"R",1,"R",17,"R",22
100663,32,"R",593,"R",2,"R",591,"R",0,"R",0,"R",333,"R",333,"R",56,"R",0,"R",0,"R",373,"R",373,"R",63,"R",0,"R",0,"R",381,"R",381,"R",5,"R",109,"R",96,"R",210,"R",64,"R",19,"R",1,"R",18,"R",16
100663,40,"R",773,"R",2,"R",771,"R",5,"R",0,"R",202,"R",207,"R",27,"R",5,"R",0,"R",264,"R",269,"R",35,"R",5,"R",0,"R",280,"R",285,"R",15,"R",220,"R",251,"R",486,"R",37,"R",30,"R",2,"R",29,"R",33
100663,41,"R",245,"R",2,"R",243,"R",0,"R",0,"R",72,"R",72,"R",30,"R",0,"R",0,"R",92,"R",92,"R",38,"R",0,"R",0,"R",97,"R",97,"R",4,"R",72,"R",70,"R",146,"R",40,"R",31,"R",2,"R",30,"R",29
100663,42,"R",528,"R",0,"R",528,"R",5,"R",0,"R",130,"R",135,"R",26,"R",5,"R",0,"R",172,"R",177,"R",34,"R",5,"R",0,"R",183,"R",188,"R",11,"R",148,"R",181,"R",340,"R",36,"R",30,"R",2,"R",28,"R",34
100663,50,"R",3583,"R",8,"R",3575,"R",7,"R",0,"R",1489,"R",1496,"R",42,"R",7,"R",0,"R",1967,"R",1974,"R",55,"R",7,"R",0,"R",2044,"R",2051,"R",44,"R",762,"R",718,"R",1524,"R",57,"R",23,"R",1,"R",21,"R",20
100663,51,"R",1367,"R",4,"R",1363,"R",2,"R",0,"R",510,"R",512,"R",38,"R",2,"R",0,"R",693,"R",695,"R",51,"R",2,"R",0,"R",728,"R",730,"R",15,"R",306,"R",312,"R",633,"R",54,"R",24,"R",1,"R",22,"R",23
100663,52,"R",2216,"R",4,"R",2212,"R",5,"R",0,"R",979,"R",984,"R",44,"R",5,"R",0,"R",1274,"R",1279,"R",58,"R",5,"R",0,"R",1316,"R",1321,"R",29,"R",456,"R",406,"R",891,"R",60,"R",22,"R",1,"R",21,"R",18
100690,10,"R",16,"R",0,"R",16,"R",0,"R",2,"R",5,"R",7,"R",44,"R",0,"R",2,"R",6,"R",8,"R",50,"R",0,"R",2,"R",6,"R",8,"R",0,"R",5,"R",3,"R",8,"R",50,"R",31,"R",0,"R",31,"R",19
